lhx,lhy,lhz,rhx,rhy,rhz,hx,hy,hz,sx,sy,sz,lwx,lwy,lwz,rwx,rwy,rwz,timestamp,phase
5.347435,4.363681,1.501913,5.258967,4.319263,1.488703,5.037871,1.618295,1.77835,5.062803,4.229656,1.772577,4.972902,4.301065,1.564781,5.553945,4.370456,1.553521,5702026,Rest
4.869622,4.25421,1.556133,5.240113,4.346338,1.554309,5.03761,1.61837,1.778573,5.06143,4.228504,1.772859,4.974908,4.303656,1.565527,5.423875,4.303708,1.569942,5702058,Rest
5.357447,4.364039,1.500969,5.238928,4.347924,1.55415,5.037514,1.618298,1.778774,5.059245,4.228004,1.773568,4.981612,4.305363,1.563643,5.33217,4.438061,1.572841,5702089,Rest
4.942886,4.281878,1.546513,5.111436,4.22966,1.527091,5.037526,1.618612,1.778855,5.056475,4.226891,1.774519,4.987158,4.304063,1.565929,5.311104,4.396774,1.566368,5702120,Rest
5.00316,4.27853,1.542866,4.985812,4.182155,1.52033,5.037557,1.619226,1.778925,5.052367,4.225485,1.775536,4.983912,4.296833,1.569889,5.193762,4.335417,1.560144,5702167,Rest
5.064488,4.290401,1.542146,4.955739,4.163175,1.511876,5.037724,1.618397,1.779722,5.045395,4.223284,1.777401,5.00041,4.301358,1.566544,5.164159,4.313107,1.552097,5702307,Rest
5.067825,4.290883,1.542058,4.928284,4.157637,1.511306,5.038332,1.618043,1.78008,5.045374,4.22369,1.777571,5.001656,4.299812,1.566537,5.136817,4.307087,1.551576,5702338,Rest
5.070332,4.290677,1.541985,4.916637,4.151067,1.51051,5.038742,1.618044,1.780114,5.045767,4.224827,1.777669,5.002672,4.29881,1.566489,5.12522,4.300282,1.550805,5702370,Rest
5.071611,4.290927,1.542046,4.906132,4.143034,1.509449,5.042224,1.618561,1.780209,5.047422,4.223671,1.778054,5.012298,4.298582,1.565061,5.114789,4.292008,1.549765,5702432,Rest
5.071658,4.290962,1.542064,4.882852,4.134814,1.50972,5.042603,1.619727,1.780322,5.048172,4.224671,1.778042,4.992435,4.296172,1.568817,5.091553,4.283632,1.550051,5702463,Rest
5.071808,4.290493,1.541895,4.882221,4.128223,1.508701,5.043518,1.621019,1.780437,5.048333,4.224794,1.778094,4.96214,4.288907,1.568365,5.090957,4.276965,1.549036,5702494,Rest
5.069491,4.286251,1.541698,4.881552,4.126051,1.508452,5.043828,1.62152,1.780508,5.048282,4.224944,1.778111,4.959812,4.287984,1.568131,5.090302,4.274761,1.54879,5702510,Rest
5.120244,4.297456,1.541533,4.881269,4.126138,1.508415,5.044434,1.621742,1.780541,5.048227,4.224396,1.778241,4.961314,4.281355,1.568738,5.090024,4.274835,1.548754,5702557,Rest
5.104355,4.28859,1.540979,4.887788,4.122335,1.508116,5.046957,1.621895,1.780663,5.04838,4.224582,1.778285,4.949487,4.278426,1.571408,5.096573,4.270979,1.548457,5702572,Rest
